short,long
Girón,GIRÓN
Guaca,GUACA
Guadalupe,GUADALUPE
Guapotá,GUAPOTÁ
Guavatá,GUAVATÁ
Gãœepsa,GÃœEPSA
Hato,HATO
Jesús María,JESÚS MARÍA
Jordán,JORDÁN
La Belleza,LA BELLEZA
Landázuri,LANDÁZURI
La Paz,LA PAZ
Lebrija,LEBRIJA
Los Santos,LOS SANTOS
Macaravita,MACARAVITA
Málaga,MÁLAGA
Matanza,MATANZA
Mogotes,MOGOTES
Molagavita,MOLAGAVITA
Ocamonte,OCAMONTE
Oiba,OIBA
Onzaga,ONZAGA
Palmar,PALMAR
Palmas del Socorro,PALMAS DEL SOCORRO
Páramo,PÁRAMO
Piedecuesta,PIEDECUESTA
Pinchote,PINCHOTE
Puente Nacional,PUENTE NACIONAL
Puerto Parra,PUERTO PARRA
Puerto Wilches,PUERTO WILCHES
Rionegro,RIONEGRO
Sabana de Torres,SABANA DE TORRES
San Andrés,SAN ANDRÉS
San Benito,SAN BENITO
San Gil,SAN GIL
San Joaquín,SAN JOAQUÍN
San José de Miranda,SAN JOSÉ DE MIRANDA
San Miguel,SAN MIGUEL
San Vicente de Chucurí,SAN VICENTE DE CHUCURÍ
Santa Bárbara,SANTA BÁRBARA
Santa Helena del Opón,SANTA HELENA DEL OPÓN
Simacota,SIMACOTA
Socorro,SOCORRO
Suaita,SUAITA
Sucre,SUCRE
Suratá,SURATÁ
Tona,TONA
Valle de San José,VALLE DE SAN JOSÉ
Vélez,VÉLEZ
Vetas,VETAS
Villanueva,VILLANUEVA
Zapatoca,ZAPATOCA
Sincelejo,SINCELEJO
Buenavista,BUENAVISTA
Caimito,CAIMITO
Coloso,COLOSO
Corozal,COROZAL
Coveñas,COVEÑAS
Chalán,CHALÁN
El Roble,EL ROBLE
